ID,source,Location,Accession_Number,Strain,Country,State,Municipality,latitude,longitude,Host_species,date
New_mosquitoes|pool119|Brazil|SP|SaoPaulo_PEAL|2018-01-05,This_study,SaoPaulo_PEAL,New_mosquitoes,pool119,Brazil,SP,Sao_Paulo,-23.4663400,-46.6314700,Haemagogus leucocelaenus,2018-01-05
New_mosquitoes|pool120|Brazil|SP|SaoPaulo_PEAL|2018-01-05,This_study,SaoPaulo_PEAL,New_mosquitoes,pool120,Brazil,SP,Sao_Paulo,-23.4663400,-46.6314700,Haemagogus leucocelaenus,2018-01-05
New_mosquitoes|pool177|Brazil|SP|SaoPaulo_PEAL|2018-01-11,This_study,SaoPaulo_PEAL,New_mosquitoes,pool177,Brazil,SP,Sao_Paulo,-23.4653690,-46.6309770,Haemagogus leucocelaenus,2018-01-11
New_mosquitoes|pool182|Brazil|SP|SaoPaulo_PEAL|2018-01-11,This_study,SaoPaulo_PEAL,New_mosquitoes,pool182,Brazil,SP,Sao_Paulo,-23.4653690,-46.6309770,Haemagogus leucocelaenus,2018-01-11
New_mosquitoes|pool192|Brazil|SP|SaoPaulo_PEAL|2018-01-11,This_study,SaoPaulo_PEAL,New_mosquitoes,pool192,Brazil,SP,Sao_Paulo,-23.4653690,-46.6309770,Haemagogus leucocelaenus,2018-01-11
New_mosquitoes|pool24|Brazil|SP|SaoPaulo_PEAL|2017-12-26,This_study,SaoPaulo_PEAL,New_mosquitoes,pool24,Brazil,SP,Sao_Paulo,-23.4558400,-46.6360500,Haemagogus leucocelaenus,2017-12-26
New_mosquitoes|pool66|Brazil|SP|SaoPaulo_PEAL|2018-01-03,This_study,SaoPaulo_PEAL,New_mosquitoes,pool66,Brazil,SP,Sao_Paulo,-23.4635100,-46.6330300,Haemagogus leucocelaenus,2018-01-03
New_mosquitoes|pool81|Brazil|SP|SaoPaulo_PEAL|2018-01-04,This_study,SaoPaulo_PEAL,New_mosquitoes,pool81,Brazil,SP,Sao_Paulo,-23.4646900,-46.6352500,Haemagogus leucocelaenus,2018-01-04
New_mosquitoes|pool95|Brazil|SP|SaoPaulo_PEAL|2018-01-04,This_study,SaoPaulo_PEAL,New_mosquitoes,pool95,Brazil,SP,Sao_Paulo,-23.4638900,-46.6302500,Haemagogus leucocelaenus,2018-01-04
New_NHP|2067|Brazil|SP|SaoPaulo_PEAL_border|Alouatta|2017-10-09,This_study,SaoPaulo_PEAL,New_NHP,2067,Brazil,SP,Sao_Paulo,-23.4645680,-46.6488902,Alouatta guariba clamitans,2017-10-09
New_NHP|2457|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-03,This_study,New_Other,New_NHP,2457,Brazil,SP,Sao_Paulo,-23.4480980,-46.6199025,Alouatta guariba clamitans,2017-12-03
New_NHP|2505|Brazil|SP|Mairipora|NP|Alouatta|2017-11-16,This_study,New_Other,New_NHP,2505,Brazil,SP,Mairipora,-23.4189989,-46.6655516,Alouatta guariba clamitans,2017-11-16
New_NHP|2508|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-05,This_study,SaoPaulo_PEAL,New_NHP,2508,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-05
New_NHP|2510|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-05,This_study,New_Other,New_NHP,2510,Brazil,SP,Sao_Paulo,-23.4480980,-46.6199025,Alouatta guariba clamitans,2017-12-05
New_NHP|2513|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-05,This_study,New_Other,New_NHP,2513,Brazil,SP,Sao_Paulo,-23.4161991,-46.5845585,Alouatta guariba clamitans,2017-12-05
New_NHP|2668|Brazil|SP|SaoPaulo_North|NP|2017-12-16,This_study,New_Other,New_NHP,2668,Brazil,SP,Sao_Paulo,-23.4517279,-46.6184316,Alouatta guariba clamitans,2017-12-16
New_NHP|2669|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-16,This_study,New_Other,New_NHP,2669,Brazil,SP,Sao_Paulo,-23.4517279,-46.6184316,Alouatta guariba clamitans,2017-12-16
New_NHP|2670|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-16,This_study,New_Other,New_NHP,2670,Brazil,SP,Sao_Paulo,-23.4517279,-46.6184316,Alouatta guariba clamitans,2017-12-16
New_NHP|2671|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-17,This_study,New_Other,New_NHP,2671,Brazil,SP,Sao_Paulo,-23.4476865,-46.6163571,Alouatta guariba clamitans,2017-12-17
New_NHP|2672|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-17,This_study,New_Other,New_NHP,2672,Brazil,SP,Sao_Paulo,-23.4476865,-46.6163571,Alouatta guariba clamitans,2017-12-17
New_NHP|2673|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-17,This_study,New_Other,New_NHP,2673,Brazil,SP,Sao_Paulo,-23.4381956,-46.7092847,Alouatta guariba clamitans,2017-12-17
New_NHP|2674|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-17,This_study,New_Other,New_NHP,2674,Brazil,SP,Sao_Paulo,-23.4381956,-46.7092847,Alouatta guariba clamitans,2017-12-17
New_NHP|2675|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-18,This_study,New_Other,New_NHP,2675,Brazil,SP,Sao_Paulo,-23.4450952,-46.6131346,Alouatta guariba clamitans,2017-12-18
New_NHP|2676|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-15,This_study,New_Other,New_NHP,2676,Brazil,SP,Sao_Paulo,-23.4461853,-46.7052696,Alouatta guariba clamitans,2017-12-15
New_NHP|2677|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-14,This_study,SaoPaulo_PEAL,New_NHP,2677,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-14
New_NHP|2678|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-14,This_study,SaoPaulo_PEAL,New_NHP,2678,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-14
New_NHP|2680|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-14,This_study,New_Other,New_NHP,2680,Brazil,SP,Sao_Paulo,-23.4191513,-46.5903346,Alouatta guariba clamitans,2017-12-14
New_NHP|2681|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-11,This_study,SaoPaulo_PEAL,New_NHP,2681,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-11
New_NHP|2682|Brazil|SP|SaoPaulo_PEAL_border|Alouatta|2017-12-11,This_study,New_Other,New_NHP,2682,Brazil,SP,Sao_Paulo,-23.4533649,-46.6709301,Alouatta guariba clamitans,2017-12-11
