ID,source,Location,Accession_Number,Strain,Country,State,Municipality,latitude,longitude,Host_species,date
New_mosquitoes|pool119|Brazil|SP|SaoPaulo_PEAL|2018-01-05,This_study,SaoPaulo_PEAL,New_mosquitoes,pool119,Brazil,SP,Sao_Paulo,-23.46634,-46.63147,Haemagogus leucocelaenus,2018-01-05
New_mosquitoes|pool120|Brazil|SP|SaoPaulo_PEAL|2018-01-05,This_study,SaoPaulo_PEAL,New_mosquitoes,pool120,Brazil,SP,Sao_Paulo,-23.46634,-46.63147,Haemagogus leucocelaenus,2018-01-05
New_mosquitoes|pool177|Brazil|SP|SaoPaulo_PEAL|2018-01-11,This_study,SaoPaulo_PEAL,New_mosquitoes,pool177,Brazil,SP,Sao_Paulo,-23.465369,-46.630977,Haemagogus leucocelaenus,2018-01-11
New_mosquitoes|pool182|Brazil|SP|SaoPaulo_PEAL|2018-01-11,This_study,SaoPaulo_PEAL,New_mosquitoes,pool182,Brazil,SP,Sao_Paulo,-23.465369,-46.630977,Haemagogus leucocelaenus,2018-01-11
New_mosquitoes|pool192|Brazil|SP|SaoPaulo_PEAL|2018-01-11,This_study,SaoPaulo_PEAL,New_mosquitoes,pool192,Brazil,SP,Sao_Paulo,-23.465369,-46.630977,Haemagogus leucocelaenus,2018-01-11
New_mosquitoes|pool24|Brazil|SP|SaoPaulo_PEAL|2017-12-26,This_study,SaoPaulo_PEAL,New_mosquitoes,pool24,Brazil,SP,Sao_Paulo,-23.45584,-46.63605,Haemagogus leucocelaenus,2017-12-26
New_mosquitoes|pool66|Brazil|SP|SaoPaulo_PEAL|2018-01-03,This_study,SaoPaulo_PEAL,New_mosquitoes,pool66,Brazil,SP,Sao_Paulo,-23.46351,-46.63303,Haemagogus leucocelaenus,2018-01-03
New_mosquitoes|pool81|Brazil|SP|SaoPaulo_PEAL|2018-01-04,This_study,SaoPaulo_PEAL,New_mosquitoes,pool81,Brazil,SP,Sao_Paulo,-23.46469,-46.63525,Haemagogus leucocelaenus,2018-01-04
New_mosquitoes|pool95|Brazil|SP|SaoPaulo_PEAL|2018-01-04,This_study,SaoPaulo_PEAL,New_mosquitoes,pool95,Brazil,SP,Sao_Paulo,-23.46389,-46.63025,Haemagogus leucocelaenus,2018-01-04
New_NHP|2067|Brazil|SP|SaoPaulo_PEAL_border|Alouatta|2017-10-09,This_study,SaoPaulo_PEAL,New_NHP,2067,Brazil,SP,Sao_Paulo,-23.464568,-46.6488902,Alouatta guariba clamitans,2017-10-09
New_NHP|2508|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-05,This_study,SaoPaulo_PEAL,New_NHP,2508,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-05
New_NHP|2677|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-14,This_study,SaoPaulo_PEAL,New_NHP,2677,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-14
New_NHP|2678|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-14,This_study,SaoPaulo_PEAL,New_NHP,2678,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-14
New_NHP|2681|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-11,This_study,SaoPaulo_PEAL,New_NHP,2681,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-11
New_NHP|2684|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-16,This_study,SaoPaulo_PEAL,New_NHP,2684,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-16
New_NHP|2688|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-17,This_study,SaoPaulo_PEAL,New_NHP,2688,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-17
New_NHP|2694|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-19,This_study,SaoPaulo_PEAL,New_NHP,2694,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-19
New_NHP|2702|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-12,This_study,SaoPaulo_PEAL,New_NHP,2702,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-12
New_NHP|2707|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-12,This_study,SaoPaulo_PEAL,New_NHP,2707,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-12
New_NHP|2708|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-11,This_study,SaoPaulo_PEAL,New_NHP,2708,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-11
New_NHP|2710|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-14,This_study,SaoPaulo_PEAL,New_NHP,2710,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-14
